InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C10H12N2O5S/c1-10(2)6(9(16)17)12-7(15)5(8(12)18-10)11-4(14)3-13/h3,5-6,8H,1-2H3,(H,11,14)(H,16,17)/p-1",IZGDDZCBZBJXID-UHFFFAOYSA-M,CC1(C(N2C(S1)C(C2=O)NC(=O)C=O)C(=O)[O-])C,,,[C10H11N2O5S]-,271.038867452,-1.2671000000000003,0,0,0,BTM00003,BTM00003,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C,"InChI=1S/C16H18N2O5S/c1-16(2)12(15(21)22)18-13(20)11(14(18)24-16)17-10(19)8-23-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/p-1",BPLBGHOLXOTWMN-UHFFFAOYSA-M,,349.0858
"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,OC1=CC=CC=C1,,,C6H6O,94.041864812,1.5626000000000002,0,0,0,BTM00004,BTM00004,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C,"InChI=1S/C16H18N2O5S/c1-16(2)12(15(21)22)18-13(20)11(14(18)24-16)17-10(19)8-23-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/p-1",BPLBGHOLXOTWMN-UHFFFAOYSA-M,,349.0858
"InChI=1S/C16H18N2O6S/c1-16(2)12(15(21)22)18-13(20)11(14(18)25(16)23)17-10(19)8-24-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/p-1",DNPOVSLJNLLGMA-UHFFFAOYSA-M,CC1(C(N2C(S1=O)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C,,,[C16H17N2O6S]-,365.08073226399995,-0.4636,0,0,0,BTM00005,BTM00005,S-Oxidation of dialkylthioether to sulfoxide,BTMR0057,"CYP1A2
CYP2A6
CYP2B6
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C,"InChI=1S/C16H18N2O5S/c1-16(2)12(15(21)22)18-13(20)11(14(18)24-16)17-10(19)8-23-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/p-1",BPLBGHOLXOTWMN-UHFFFAOYSA-M,,349.0858
"InChI=1S/C16H18N2O6S/c1-16(8-19)12(15(22)23)18-13(21)11(14(18)25-16)17-10(20)7-24-9-5-3-2-4-6-9/h2-6,11-12,14,19H,7-8H2,1H3,(H,17,20)(H,22,23)/p-1",QHFHTOVMAPAVCX-UHFFFAOYSA-M,C(C1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C)O,,,[C16H17N2O6S]-,365.08073226399995,-0.23999999999999988,0,0,0,BTM00006,BTM00006,Hydroxylation of methyl carbon adjacent to aliphatic ring,BTMR0054,"CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C,"InChI=1S/C16H18N2O5S/c1-16(2)12(15(21)22)18-13(20)11(14(18)24-16)17-10(19)8-23-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/p-1",BPLBGHOLXOTWMN-UHFFFAOYSA-M,,349.0858
"InChI=1S/C16H18N2O6S/c1-16(2)12(15(21)22)18(23)13(20)11(14(18)25-16)17-10(19)8-24-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/p-1",MMFFIDFYIVKUIK-UHFFFAOYSA-M,CC1(C([N+]2(C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)[O-])C(=O)[O-])C,,,[C16H17N2O6S]-,365.08073226399995,0.7676000000000003,0,0,0,BTM00007,BTM00007,Oxidation of nitrogen in strained ring system,BTMR1116,"CYP2C9
CYP2E1
CYP3A4",HUMAN,,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C,"InChI=1S/C16H18N2O5S/c1-16(2)12(15(21)22)18-13(20)11(14(18)24-16)17-10(19)8-23-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/p-1",BPLBGHOLXOTWMN-UHFFFAOYSA-M,,349.0858
