InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C15H13FO3/c1-9(15(18)19)10-6-7-11(13(16)8-10)12-4-2-3-5-14(12)17/h2-9,17H,1H3,(H,18,19)",GNKNXQLXXHRPAD-UHFFFAOYSA-N,CC(C1=CC(=C(C=C1)C2=C(C=CC=C2)O)F)C(=O)O,,,C15H13FO3,260.084872496,3.3882000000000008,0,0,0,BTM00004,BTM00004,O-Hydroxylation of monosubstituted benzene,BTMR1034,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP3A4",HUMAN,,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)",SYTBZMRGLBWNTM-UHFFFAOYSA-N,,244.0899
"InChI=1S/C15H13FO3/c1-15(19,14(17)18)11-7-8-12(13(16)9-11)10-5-3-2-4-6-10/h2-9,19H,1H3,(H,17,18)",WZESXUMKHKBMLE-UHFFFAOYSA-N,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)(C(=O)O)O,,,C15H13FO3,260.084872496,2.8526,0,0,0,BTM00005,BTM00005,Hydroxylation of non-terminal aliphatic carbon adjacent to aromatic ring,BTMR1077,"CYP1A2
CYP2C8
CYP2C9
CYP2D6
CYP3A4",HUMAN,,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)",SYTBZMRGLBWNTM-UHFFFAOYSA-N,,244.0899
"InChI=1S/C15H13FO3/c1-9(15(18)19)11-7-8-12(13(16)14(11)17)10-5-3-2-4-6-10/h2-9,17H,1H3,(H,18,19)",ZHBXIWVBRGGMMQ-UHFFFAOYSA-N,CC(C1=C(C(=C(C=C1)C2=CC=CC=C2)F)O)C(=O)O,,,C15H13FO3,260.084872496,3.3882000000000008,0,0,0,BTM00006,BTM00006,Hydroxylation of benzene on carbon ortho to electron donating group,BTMR1045,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)",SYTBZMRGLBWNTM-UHFFFAOYSA-N,,244.0899
"InChI=1S/C15H13FO3/c1-9(15(18)19)10-6-7-11(13(16)8-10)12-4-2-3-5-14(12)17/h2-9,17H,1H3,(H,18,19)",GNKNXQLXXHRPAD-UHFFFAOYSA-N,CC(C1=CC(=C(C=C1)C2=C(C=CC=C2)O)F)C(=O)O,,,C15H13FO3,260.084872496,3.3882000000000008,0,0,0,BTM00004,BTM00004,Hydroxylation of benzene on carbon ortho to electron donating group,BTMR1045,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)",SYTBZMRGLBWNTM-UHFFFAOYSA-N,,244.0899
"InChI=1S/C15H13FO3/c1-9(15(18)19)11-7-12(16)14(13(17)8-11)10-5-3-2-4-6-10/h2-9,17H,1H3,(H,18,19)",IJFLKSSRJPEVGU-UHFFFAOYSA-N,CC(C1=CC(=C(C(=C1)O)C2=CC=CC=C2)F)C(=O)O,,,C15H13FO3,260.084872496,3.3882000000000008,0,0,0,BTM00007,BTM00007,Hydroxylation of benzene on carbon ortho to electron donating group,BTMR1045,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)",SYTBZMRGLBWNTM-UHFFFAOYSA-N,,244.0899
"InChI=1S/C15H13FO3/c1-9(15(18)19)11-7-13(16)12(8-14(11)17)10-5-3-2-4-6-10/h2-9,17H,1H3,(H,18,19)",UYESRBUAKYHLMN-UHFFFAOYSA-N,CC(C1=CC(=C(C=C1O)C2=CC=CC=C2)F)C(=O)O,,,C15H13FO3,260.084872496,3.3882000000000008,0,0,0,BTM00008,BTM00008,Hydroxylation of aromatic carbon para to halide group,BTMR1041,"CYP1A2
CYP2E1
CYP3A4",HUMAN,,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)",SYTBZMRGLBWNTM-UHFFFAOYSA-N,,244.0899
"InChI=1S/C15H13FO3/c1-9(15(18)19)11-4-7-13(14(16)8-11)10-2-5-12(17)6-3-10/h2-9,17H,1H3,(H,18,19)",GTSMMBJBNJDFRA-UHFFFAOYSA-N,CC(C1=CC(=C(C=C1)C2=CC=C(C=C2)O)F)C(=O)O,,,C15H13FO3,260.084872496,3.3882000000000008,0,0,0,BTM00009,BTM00009,Hydroxylation of benzene on carbon para to electron donating group,BTMR1047,"CYP1A2
CYP2C8
CYP2C9
CYP2D6
CYP3A4",HUMAN,,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)",SYTBZMRGLBWNTM-UHFFFAOYSA-N,,244.0899
"InChI=1S/C15H13FO3/c16-14-8-11(13(9-17)15(18)19)6-7-12(14)10-4-2-1-3-5-10/h1-8,13,17H,9H2,(H,18,19)",KIKNTEZGBUPVBH-UHFFFAOYSA-N,C(C(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O)O,,,C15H13FO3,260.084872496,2.5648999999999997,0,0,0,BTM00010,BTM00010,Hydroxylation of terminal methyl,BTMR1061,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)",SYTBZMRGLBWNTM-UHFFFAOYSA-N,,244.0899
"InChI=1S/C15H11FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-9H,1H2,(H,17,18)",LSPGJXDCKZSTDT-UHFFFAOYSA-N,C=C(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,,,C15H11FO2,242.074307812,3.6702,0,0,0,BTM00011,BTM00011,Terminal desaturation,BTMR1190,"CYP1A2
CYP2A6
CYP2C9
CYP2D6
CYP3A4",HUMAN,,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)",SYTBZMRGLBWNTM-UHFFFAOYSA-N,,244.0899
