InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C12H12O7/c1-4-5-3-19-12(17)6(5)8(13)7(10(4)18-2)9(14)11(15)16/h9,13-14H,3H2,1-2H3,(H,15,16)",ZSOCATBJVOJQBH-UHFFFAOYSA-N,CC1=C2COC(=O)C2=C(C(=C1OC)C(C(=O)O)O)O,,,C12H12O7,268.058302724,0.735,0,1,1,BTM00007,BTM00007,Hydroxylation of non-terminal aliphatic carbon adjacent to aromatic ring,BTMR1077,"CYP1A2
CYP2C8
CYP2C9
CYP2D6
CYP3A4",HUMAN,,CC1=C2COC(=O)C2=C(C(=C1OC)CC(=O)O)O,"InChI=1S/C12H12O6/c1-5-7-4-18-12(16)9(7)10(15)6(3-8(13)14)11(5)17-2/h15H,3-4H2,1-2H3,(H,13,14)",DPTQXCJLISPWQT-UHFFFAOYSA-N,,252.0633
"InChI=1S/C11H10O6/c1-4-6-3-17-11(16)8(6)10(15)5(9(4)14)2-7(12)13/h14-15H,2-3H2,1H3,(H,12,13)",NMUHTLDPRGEFCM-UHFFFAOYSA-N,CC1=C2COC(=O)C2=C(C(=C1O)CC(=O)O)O,,,C11H10O6,238.04773803999998,1.0294999999999999,0,1,1,BTM00008,BTM00008,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,CC1=C2COC(=O)C2=C(C(=C1OC)CC(=O)O)O,"InChI=1S/C12H12O6/c1-5-7-4-18-12(16)9(7)10(15)6(3-8(13)14)11(5)17-2/h15H,3-4H2,1-2H3,(H,13,14)",DPTQXCJLISPWQT-UHFFFAOYSA-N,,252.0633
"InChI=1S/C12H12O7/c1-18-11-5(2-8(14)15)10(16)9-7(6(11)3-13)4-19-12(9)17/h13,16H,2-4H2,1H3,(H,14,15)",WIXJLPIYKBVMDC-UHFFFAOYSA-N,C(C1=C2COC(=O)C2=C(C(=C1OC)CC(=O)O)O)O,,,C12H12O7,268.058302724,0.18980000000000027,0,1,1,BTM00009,BTM00009,Aliphatic hydroxylation of methyl carbon adjacent to aromatic ring,BTMR1058,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,CC1=C2COC(=O)C2=C(C(=C1OC)CC(=O)O)O,"InChI=1S/C12H12O6/c1-5-7-4-18-12(16)9(7)10(15)6(3-8(13)14)11(5)17-2/h15H,3-4H2,1-2H3,(H,13,14)",DPTQXCJLISPWQT-UHFFFAOYSA-N,,252.0633
