InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C20H18N2O4/c23-16(21-13-18(24)25)11-12-17-22-19(14-7-3-1-4-8-14)20(26-17)15-9-5-2-6-10-15/h1-10H,11-13H2,(H,21,23)(H,24,25)",XQLHQKSTMDNBTD-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)NCC(O)=O)C3=CC=CC=C3,,,C20H18N2O4,350.126657056,2.8654999999999995,0,0,0,BTM00001,BTM00001,Glycine conjugation,BTMR1325,EC 2.3.1.13,HUMAN,,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,"InChI=1S/C18H15NO3/c20-16(21)12-11-15-19-17(13-7-3-1-4-8-13)18(22-15)14-9-5-2-6-10-14/h1-10H,11-12H2,(H,20,21)",OFPXSFXSNFPTHF-UHFFFAOYSA-N,,293.1051
"InChI=1S/C24H23NO9/c26-16(33-24-20(29)18(27)19(28)22(34-24)23(30)31)12-11-15-25-17(13-7-3-1-4-8-13)21(32-15)14-9-5-2-6-10-14/h1-10,18-20,22,24,27-29H,11-12H2,(H,30,31)",ZONKPOICDFFRNF-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)OC3OC(C(O)C(O)C3O)C(O)=O)C4=CC=CC=C4,,,C24H23NO9,469.13728131600004,1.8968000000000025,0,1,1,BTM00002,BTM00002,O-Glucuronidation of aliphatic acid,BTMR0167,EC 2.4.1.17,HUMAN,,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,"InChI=1S/C18H15NO3/c20-16(21)12-11-15-19-17(13-7-3-1-4-8-13)18(22-15)14-9-5-2-6-10-14/h1-10H,11-12H2,(H,20,21)",OFPXSFXSNFPTHF-UHFFFAOYSA-N,,293.1051
"InChI=1S/C25H28N2O5/c1-27(2,3)17-20(16-22(28)29)31-23(30)15-14-21-26-24(18-10-6-4-7-11-18)25(32-21)19-12-8-5-9-13-19/h4-13,20H,14-17H2,1-3H3",RBKCYKATPIRHOE-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)OC(C[N+](C)(C)C)CC([O-])=O)C3=CC=CC=C3,,,C25H28N2O5,436.19982199599997,1.6823999999999997,0,0,0,BTM00003,BTM00003,Carnitine conjugation,BTMR1324,EC 2.3.1.7,HUMAN,,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,"InChI=1S/C18H15NO3/c20-16(21)12-11-15-19-17(13-7-3-1-4-8-13)18(22-15)14-9-5-2-6-10-14/h1-10H,11-12H2,(H,20,21)",OFPXSFXSNFPTHF-UHFFFAOYSA-N,,293.1051
"InChI=1S/C18H15NO4/c20-14(11-15(21)22)18-19-16(12-7-3-1-4-8-12)17(23-18)13-9-5-2-6-10-13/h1-10,14,20H,11H2,(H,21,22)",VPKUEZCAZVAAMX-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=C(OC(=N2)C(CC(=O)O)O)C3=CC=CC=C3,,,C18H15NO4,309.10010796,3.0192,0,0,0,BTM00004,BTM00004,Hydroxylation of non-terminal aliphatic carbon adjacent to aromatic ring,BTMR1077,"CYP1A2
CYP2C8
CYP2C9
CYP2D6
CYP3A4",HUMAN,,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,"InChI=1S/C18H15NO3/c20-16(21)12-11-15-19-17(13-7-3-1-4-8-13)18(22-15)14-9-5-2-6-10-14/h1-10H,11-12H2,(H,20,21)",OFPXSFXSNFPTHF-UHFFFAOYSA-N,,293.1051
"InChI=1S/C18H15NO4/c20-14(18(21)22)11-15-19-16(12-7-3-1-4-8-12)17(23-15)13-9-5-2-6-10-13/h1-10,14,20H,11H2,(H,21,22)",WZPOKJIGQIAYHX-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=C(OC(=N2)CC(C(=O)O)O)C3=CC=CC=C3,,,C18H15NO4,309.10010796,3.2400000000000007,0,0,0,BTM00005,BTM00005,alpha-Hydroxylation of carbonyl group,BTMR1054,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,"InChI=1S/C18H15NO3/c20-16(21)12-11-15-19-17(13-7-3-1-4-8-13)18(22-15)14-9-5-2-6-10-14/h1-10H,11-12H2,(H,20,21)",OFPXSFXSNFPTHF-UHFFFAOYSA-N,,293.1051
"InChI=1S/C16H11NO3/c18-16(19)15-17-13(11-7-3-1-4-8-11)14(20-15)12-9-5-2-6-10-12/h1-10H,(H,18,19)",MEJOWRJWDWAODC-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=C(OC(=N2)C(=O)O)C3=CC=CC=C3,,,C16H11NO3,265.073893212,3.4951,0,0,0,BTM00006,BTM00006,beta-Oxidation of carboxylic acid,BTMR0275,Unspecified gut bacterial enzyme,GUTMICRO,,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,"InChI=1S/C18H15NO3/c20-16(21)12-11-15-19-17(13-7-3-1-4-8-13)18(22-15)14-9-5-2-6-10-14/h1-10H,11-12H2,(H,20,21)",OFPXSFXSNFPTHF-UHFFFAOYSA-N,,293.1051
