InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C19H20F2N6O7/c20-10-1-2-11(12(21)3-10)19(4-26-8-22-6-24-26,5-27-9-23-7-25-27)34-18-15(30)13(28)14(29)16(33-18)17(31)32/h1-3,6-9,13-16,18,28-30H,4-5H2,(H,31,32)",GJQIGLSHRFZUJD-UHFFFAOYSA-N,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)OC4OC(C(O)=O)C(C(C4O)O)O,,,C19H20F2N6O7,482.13615341999997,-0.7875999999999995,1,1,1,BTM00001,BTM00001,Alkyl-OH-glucuronidation,BTMR0165,EC 2.4.1.17,HUMAN,,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",RFHAOTPXVQNOHP-UHFFFAOYSA-N,,306.1040
"InChI=1S/C13H12F2N6O2/c14-10-2-11(15)12(22)1-9(10)13(23,3-20-7-16-5-18-20)4-21-8-17-6-19-21/h1-2,5-8,22-23H,3-4H2",QPWPMBBVUMEVTB-UHFFFAOYSA-N,C1(=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O)O,,,C13H12F2N6O2,322.098980064,0.48299999999999993,0,0,0,BTM00002,BTM00002,Hydroxylation of aromatic carbon para to halide group,BTMR1041,"CYP1A2
CYP2E1
CYP3A4",HUMAN,,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",RFHAOTPXVQNOHP-UHFFFAOYSA-N,,306.1040
"InChI=1S/C13H12F2N6O2/c14-10-2-11(15)12(22)1-9(10)13(23,3-20-7-16-5-18-20)4-21-8-17-6-19-21/h1-2,5-8,22-23H,3-4H2",QPWPMBBVUMEVTB-UHFFFAOYSA-N,C1(=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O)O,,,C13H12F2N6O2,322.098980064,0.48299999999999993,0,0,0,BTM00002,BTM00002,Hydroxylation of aromatic carbon ortho to halide group,BTMR1040,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",RFHAOTPXVQNOHP-UHFFFAOYSA-N,,306.1040
"InChI=1S/C13H12F2N6O2/c14-10-2-1-9(11(15)12(10)22)13(23,3-20-7-16-5-18-20)4-21-8-17-6-19-21/h1-2,5-8,22-23H,3-4H2",MHWJBESPDZSQKP-UHFFFAOYSA-N,C1=CC(=C(C(=C1F)O)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,,,C13H12F2N6O2,322.098980064,0.48299999999999993,0,0,0,BTM00003,BTM00003,Hydroxylation of aromatic carbon ortho to halide group,BTMR1040,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",RFHAOTPXVQNOHP-UHFFFAOYSA-N,,306.1040
"InChI=1S/C13H12F2N6O2/c14-9-1-10(15)12(11(22)2-9)13(23,3-20-7-16-5-18-20)4-21-8-17-6-19-21/h1-2,5-8,22-23H,3-4H2",UIAKOIXKDJBKKG-UHFFFAOYSA-N,C1=C(C(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O)O,,,C13H12F2N6O2,322.098980064,0.48299999999999993,0,0,0,BTM00004,BTM00004,Hydroxylation of aromatic carbon meta to halide group,BTMR1039,"CYP2A6
CYP2B6
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",RFHAOTPXVQNOHP-UHFFFAOYSA-N,,306.1040
