InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C18H14N4O6S/c23-16-9-6-13(11-15(16)18(24)25)20-19-12-4-7-14(8-5-12)29(27,28)21-17-3-1-2-10-22(17)26/h1-11,19,21H,(H,24,25)/b20-13+",UFLROMIKKPVGRT-DEDYPNTBSA-N,C1=CC=[N+](C(=C1)NS(=O)(=O)C2=CC=C(C=C2)NN=C3C=CC(=O)C(=C3)C(=O)O)[O-],,,C18H14N4O6S,414.063405168,1.3139,0,1,1,BTM00007,BTM00007,Pyridine N-oxidation,BTMR0096,"CYP1A2
CYP2C9
CYP2D6
CYP3A4",HUMAN,,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NN=C3C=CC(=O)C(=C3)C(=O)O,"InChI=1S/C18H14N4O5S/c23-16-9-6-13(11-15(16)18(24)25)21-20-12-4-7-14(8-5-12)28(26,27)22-17-3-1-2-10-19-17/h1-11,20H,(H,19,22)(H,24,25)",OQANPHBRHBJGNZ-UHFFFAOYSA-N,,398.0684
"InChI=1S/C18H14N4O6S/c23-14-9-8-13(16-18(14,28-16)17(24)25)21-20-11-4-6-12(7-5-11)29(26,27)22-15-3-1-2-10-19-15/h1-10,16,20H,(H,19,22)(H,24,25)/b21-13+",HJDCOKKNBXOWIW-FYJGNVAPSA-N,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NN=C3C=CC(=O)C4(C3O4)C(=O)O,,,C18H14N4O6S,414.063405168,0.7818000000000005,0,1,1,BTM00008,BTM00008,Epoxidation of alkene,BTMR0110,"CYP1A2
CYP2B6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NN=C3C=CC(=O)C(=C3)C(=O)O,"InChI=1S/C18H14N4O5S/c23-16-9-6-13(11-15(16)18(24)25)21-20-12-4-7-14(8-5-12)28(26,27)22-17-3-1-2-10-19-17/h1-11,20H,(H,19,22)(H,24,25)",OQANPHBRHBJGNZ-UHFFFAOYSA-N,,398.0684
"InChI=1S/C18H14N4O6S/c23-15-12(18(24)25)9-13(16-17(15)28-16)21-20-10-4-6-11(7-5-10)29(26,27)22-14-3-1-2-8-19-14/h1-9,16-17,20H,(H,19,22)(H,24,25)/b21-13+",HMBVYPVOJKRQRN-FYJGNVAPSA-N,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NN=C3C4C(C(=O)C(=C3)C(=O)O)O4,,,C18H14N4O6S,414.06340516800003,0.8207,0,1,1,BTM00009,BTM00009,Epoxidation of alkene,BTMR0110,"CYP1A2
CYP2B6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NN=C3C=CC(=O)C(=C3)C(=O)O,"InChI=1S/C18H14N4O5S/c23-16-9-6-13(11-15(16)18(24)25)21-20-12-4-7-14(8-5-12)28(26,27)22-17-3-1-2-10-19-17/h1-11,20H,(H,19,22)(H,24,25)",OQANPHBRHBJGNZ-UHFFFAOYSA-N,,398.0684
