InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C10H12O7S/c1-15-9-4-2-3-5-10(9)16-7-8(6-11)17-18(12,13)14/h2-6,8H,7H2,1H3,(H,12,13,14)",AHAVASNVKBHHGL-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(C=O)OS(O)(=O)=O,,,C10H12O7S,276.030373724,0.42410000000000087,0,0,0,BTM00010,BTM00010,Sulfation of secondary alcohol,BTMR0502,EC 2.8.2.2,HUMAN,BTM00004,COC1=CC=CC=C1OCC(C=O)O,"InChI=1S/C10H12O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-6,8,12H,7H2,1H3",HEJKGTYUZGMFAX-UHFFFAOYSA-N,1.003400000000001,196.073558864
"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",YCIMNLLNPGFGHC-UHFFFAOYSA-N,OC1=CC=CC=C1O,,,C6H6O2,110.036779432,1.2952,0,0,0,BTM00011,BTM00011,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,BTM00001,OC1=CC=CC=C1OCC(CO)O,"InChI=1S/C9H12O4/c10-5-7(11)6-13-9-4-2-1-3-8(9)12/h1-4,7,10-12H,5-6H2",YFTRBASNPFHPAJ-UHFFFAOYSA-N,0.4961000000000004,184.073558864
"InChI=1S/C3H6O3/c4-1-3(6)2-5/h1,3,5-6H,2H2",MNQZXJOMYWMBOU-UHFFFAOYSA-N,C(C(CO)O)=O,,,C3H6O3,90.03169405199999,-1.1518000000000004,0,0,0,BTM00003,BTM00003,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,BTM00001,OC1=CC=CC=C1OCC(CO)O,"InChI=1S/C9H12O4/c10-5-7(11)6-13-9-4-2-1-3-8(9)12/h1-4,7,10-12H,5-6H2",YFTRBASNPFHPAJ-UHFFFAOYSA-N,0.4961000000000004,184.073558864
"InChI=1S/C9H10O4/c10-5-7(11)6-13-9-4-2-1-3-8(9)12/h1-5,7,11-12H,6H2",YMZAUYVCGXJKLF-UHFFFAOYSA-N,OC1=CC=CC=C1OCC(C=O)O,,,C9H10O4,182.0579088,0.7524000000000002,0,0,0,BTM00012,BTM00012,Oxidation of primary alcohol to aldehyde,BTMR0105,"CYP1A2
CYP2E1
CYP3A4",HUMAN,BTM00001,OC1=CC=CC=C1OCC(CO)O,"InChI=1S/C9H12O4/c10-5-7(11)6-13-9-4-2-1-3-8(9)12/h1-4,7,10-12H,5-6H2",YFTRBASNPFHPAJ-UHFFFAOYSA-N,0.4961000000000004,184.073558864
"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",YCIMNLLNPGFGHC-UHFFFAOYSA-N,OC1=CC=CC=C1O,,,C6H6O2,110.036779432,1.2952,0,0,0,BTM00011,BTM00011,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,BTM00002,COC1=CC=CC=C1O,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",LHGVFZTZFXWLCP-UHFFFAOYSA-N,1.5462000000000002,124.052429496
"InChI=1S/C10H10O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-6H,7H2,1H3",GAEYCPKDCRQMGN-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(C=O)=O,,,C10H10O4,194.0579088,1.2503000000000006,0,0,0,BTM00013,BTM00013,Oxidation of secondary alcohol to ketone,BTMR0079,"CYP1A2
CYP2C9
CYP2C19",HUMAN,BTM00004,COC1=CC=CC=C1OCC(C=O)O,"InChI=1S/C10H12O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-6,8,12H,7H2,1H3",HEJKGTYUZGMFAX-UHFFFAOYSA-N,1.003400000000001,196.073558864
"InChI=1S/C9H10O4/c10-5-7(11)6-13-9-4-2-1-3-8(9)12/h1-5,7,11-12H,6H2",YMZAUYVCGXJKLF-UHFFFAOYSA-N,OC1=CC=CC=C1OCC(C=O)O,,,C9H10O4,182.0579088,0.7524000000000002,0,0,0,BTM00012,BTM00012,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,BTM00004,COC1=CC=CC=C1OCC(C=O)O,"InChI=1S/C10H12O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-6,8,12H,7H2,1H3",HEJKGTYUZGMFAX-UHFFFAOYSA-N,1.003400000000001,196.073558864
"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",LHGVFZTZFXWLCP-UHFFFAOYSA-N,COC1=CC=CC=C1O,,,C7H8O2,124.052429496,1.5462000000000002,0,0,0,BTM00002,BTM00002,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,BTM00004,COC1=CC=CC=C1OCC(C=O)O,"InChI=1S/C10H12O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-6,8,12H,7H2,1H3",HEJKGTYUZGMFAX-UHFFFAOYSA-N,1.003400000000001,196.073558864
"InChI=1S/C3H4O3/c4-1-3(6)2-5/h1-3,6H",NVXLIZQNSVLKPO-UHFFFAOYSA-N,C(C(C=O)O)=O,,,C3H4O3,88.01604398799999,-0.8955,0,0,0,BTM00014,BTM00014,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,BTM00004,COC1=CC=CC=C1OCC(C=O)O,"InChI=1S/C10H12O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-6,8,12H,7H2,1H3",HEJKGTYUZGMFAX-UHFFFAOYSA-N,1.003400000000001,196.073558864
"InChI=1S/C3H6O4/c4-1-2(5)3(6)7/h2,4-5H,1H2,(H,6,7)/t2-/m1/s1",RBNPOMFGQQGHHO-UWTATZPHSA-N,OC[C@@H](O)C(O)=O,,,C3H6O4,106.026608672,-1.1992000000000003,0,1,1,BTM00015,BTM00015,Dehydrogenation from CyProduct,BTMR1338,"Aldehyde dehydrogenase X, mitochondrial",HUMAN,BTM00003,C(C(CO)O)=O,"InChI=1S/C3H6O3/c4-1-3(6)2-5/h1,3,5-6H,2H2",MNQZXJOMYWMBOU-UHFFFAOYSA-N,-1.1518000000000004,90.03169405199999
"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)/t3-/m0/s1",LXJXRIRHZLFYRP-VKHMYHEASA-N,O[C@H](COP(O)(O)=O)C=O,,,C3H7O6P,169.99802457399997,-1.9621000000000004,0,1,1,BTM00016,BTM00016,Phosphorylation,1611,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing),HUMAN,BTM00003,C(C(CO)O)=O,"InChI=1S/C3H6O3/c4-1-3(6)2-5/h1,3,5-6H,2H2",MNQZXJOMYWMBOU-UHFFFAOYSA-N,-1.1518000000000004,90.03169405199999
"InChI=1S/C3H4O4/c4-1-2(5)3(6)7/h4H,1H2,(H,6,7)",HHDDCCUIIUWNGJ-UHFFFAOYSA-N,OCC(=O)C(O)=O,,,C3H4O4,104.010958608,-0.9523,0,0,0,BTM00017,BTM00017,Reduction from CyProduct,BTMR1343,Glyoxylate reductase/hydroxypyruvate reductase,HUMAN,BTM00015,OC[C@@H](O)C(O)=O,"InChI=1S/C3H6O4/c4-1-2(5)3(6)7/h2,4-5H,1H2,(H,6,7)/t2-/m1/s1",RBNPOMFGQQGHHO-UWTATZPHSA-N,-1.1992000000000003,106.026608672
"InChI=1S/C4H9O7P/c5-1-3(6)4(7)2-11-12(8,9)10/h1,3-4,6-7H,2H2,(H2,8,9,10)/t3-,4+/m0/s1",NGHMDNPXVRFFGS-IUYQGCFVSA-N,O[C@H](COP(O)(O)=O)[C@@H](O)C=O,,,C4H9O7P,200.00858925799997,-2.4728000000000003,0,1,1,BTM00018,BTM00018,Transfer of aldol group,5574,Transaldolase,HUMAN,BTM00016,O[C@H](COP(O)(O)=O)C=O,"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)/t3-/m0/s1",LXJXRIRHZLFYRP-VKHMYHEASA-N,-1.9621000000000004,169.99802457399997
"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)",GNGACRATGGDKBX-UHFFFAOYSA-N,OCC(=O)COP(O)(O)=O,,,C3H7O6P,169.99802457399997,-1.9714999999999998,0,1,1,BTM00019,BTM00019,Isomerization,5676,Triosephosphate isomerase,HUMAN,BTM00016,O[C@H](COP(O)(O)=O)C=O,"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)/t3-/m0/s1",LXJXRIRHZLFYRP-VKHMYHEASA-N,-1.9621000000000004,169.99802457399997
"InChI=1S/C3H4O4/c4-1-2(5)3(6)7/h1-2,5H,(H,6,7)",QWBAFPFNGRFSFB-UHFFFAOYSA-N,OC(C=O)C(O)=O,,,C3H4O4,104.010958608,-0.9429,0,0,0,BTM00020,BTM00020,Isomerization,3213,Putative hydroxypyruvate isomerase,HUMAN,BTM00017,OCC(=O)C(O)=O,"InChI=1S/C3H4O4/c4-1-2(5)3(6)7/h4H,1H2,(H,6,7)",HHDDCCUIIUWNGJ-UHFFFAOYSA-N,-0.9523,104.010958608
