InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C7H10N2O2S/c1-2-5(10)4-3-6(11)9-7(12)8-4/h3,5,10H,2H2,1H3,(H2,8,9,11,12)",JMPHQVXGPVMLKG-UHFFFAOYSA-N,CCC(C1=CC(=O)NC(=S)N1)O,,,C7H10N2O2S,186.04629856,2.2539,0,1,1,BTM00001,BTM00001,Hydroxylation of antepenultimate aliphatic secondary carbon,BTMR1072,"CYP1A2
CYP2E1",HUMAN,,CCCC1=CC(=O)NC(=S)N1,"InChI=1S/C7H10N2OS/c1-2-3-5-4-6(10)9-7(11)8-5/h4H,2-3H2,1H3,(H2,8,9,10,11)",KNAHARQHSZJURB-UHFFFAOYSA-N,,170.0513
"InChI=1S/C7H10N2O2S/c1-4(10)2-5-3-6(11)9-7(12)8-5/h3-4,10H,2H2,1H3,(H2,8,9,11,12)",CXDBASHFYUWYJB-UHFFFAOYSA-N,CC(CC1=CC(=O)NC(=S)N1)O,,,C7H10N2O2S,186.04629856,1.7649999999999997,0,1,1,BTM00002,BTM00002,Hydroxylation of penultimate aliphatic secondary carbon,BTMR1074,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,CCCC1=CC(=O)NC(=S)N1,"InChI=1S/C7H10N2OS/c1-2-3-5-4-6(10)9-7(11)8-5/h4H,2-3H2,1H3,(H2,8,9,10,11)",KNAHARQHSZJURB-UHFFFAOYSA-N,,170.0513
"InChI=1S/C7H10N2O2S/c10-3-1-2-5-4-6(11)9-7(12)8-5/h4,10H,1-3H2,(H2,8,9,11,12)",FKHWRFXPHSRWHT-UHFFFAOYSA-N,C(CCC1=CC(=O)NC(=S)N1)O,,,C7H10N2O2S,186.04629856,1.7087,0,1,1,BTM00003,BTM00003,Hydroxylation of terminal methyl,BTMR1061,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,CCCC1=CC(=O)NC(=S)N1,"InChI=1S/C7H10N2OS/c1-2-3-5-4-6(10)9-7(11)8-5/h4H,2-3H2,1H3,(H2,8,9,10,11)",KNAHARQHSZJURB-UHFFFAOYSA-N,,170.0513
"InChI=1S/C7H8N2OS/c1-2-3-5-4-6(10)9-7(11)8-5/h2,4H,1,3H2,(H2,8,9,10,11)",UJAQEARHRRPFCA-UHFFFAOYSA-N,C=CCC1=CC(=O)NC(=S)N1,,,C7H8N2OS,168.035733876,2.5437,0,0,0,BTM00004,BTM00004,Terminal desaturation,BTMR1190,"CYP1A2
CYP2A6
CYP2C9
CYP2D6
CYP3A4",HUMAN,,CCCC1=CC(=O)NC(=S)N1,"InChI=1S/C7H10N2OS/c1-2-3-5-4-6(10)9-7(11)8-5/h4H,2-3H2,1H3,(H2,8,9,10,11)",KNAHARQHSZJURB-UHFFFAOYSA-N,,170.0513
