InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C15H19F2N3O10/c16-15(17)10(30-12-8(24)6(22)7(23)9(29-12)11(25)26)4(3-21)28-13(15)20-2-1-5(18)19-14(20)27/h1-2,4,6-10,12-13,21-24H,3H2,(H,25,26)(H2,18,19,27)",LTDFZLIKDHVPIV-UHFFFAOYSA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)OC3OC(C(O)=O)C(C(C3O)O)O)(F)F,,,C15H19F2N3O10,439.103850248,-1.513100000000001,2,1,1,BTM00001,BTM00001,Alkyl-OH-glucuronidation,BTMR0165,EC 2.4.1.17,HUMAN,,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,"InChI=1S/C9H11F2N3O4/c10-9(11)6(16)4(3-15)18-7(9)14-2-1-5(12)13-8(14)17/h1-2,4,6-7,15-16H,3H2,(H2,12,13,17)",SDUQYLNIPVEERB-UHFFFAOYSA-N,,263.0717
"InChI=1S/C15H19F2N3O10/c16-15(17)10(24)4(29-13(15)20-2-1-5(18)19-14(20)27)3-28-12-8(23)6(21)7(22)9(30-12)11(25)26/h1-2,4,6-10,12-13,21-24H,3H2,(H,25,26)(H2,18,19,27)",SSBKJHIUOCEUCX-UHFFFAOYSA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COC3OC(C(O)=O)C(C(C3O)O)O)O)(F)F,,,C15H19F2N3O10,439.103850248,-1.513100000000001,2,1,1,BTM00002,BTM00002,Alkyl-OH-glucuronidation,BTMR0165,EC 2.4.1.17,HUMAN,,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,"InChI=1S/C9H11F2N3O4/c10-9(11)6(16)4(3-15)18-7(9)14-2-1-5(12)13-8(14)17/h1-2,4,6-7,15-16H,3H2,(H2,12,13,17)",SDUQYLNIPVEERB-UHFFFAOYSA-N,,263.0717
"InChI=1S/C9H11F2N3O7S/c10-9(11)6(15)4(3-20-22(17,18)19)21-7(9)14-2-1-5(12)13-8(14)16/h1-2,4,6-7,15H,3H2,(H2,12,13,16)(H,17,18,19)",XMFVQSWLFCLYLQ-UHFFFAOYSA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COS(O)(=O)=O)O)(F)F,,,C9H11F2N3O7S,343.028577132,-0.5543999999999998,0,1,1,BTM00003,BTM00003,Sulfation of primary alcohol,BTMR0501,EC 2.8.2.2,HUMAN,,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,"InChI=1S/C9H11F2N3O4/c10-9(11)6(16)4(3-15)18-7(9)14-2-1-5(12)13-8(14)17/h1-2,4,6-7,15-16H,3H2,(H2,12,13,17)",SDUQYLNIPVEERB-UHFFFAOYSA-N,,263.0717
"InChI=1S/C9H11F2N3O7S/c10-9(11)6(21-22(17,18)19)4(3-15)20-7(9)14-2-1-5(12)13-8(14)16/h1-2,4,6-7,15H,3H2,(H2,12,13,16)(H,17,18,19)",WFDMOMROEXVSER-UHFFFAOYSA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)OS(O)(=O)=O)(F)F,,,C9H11F2N3O7S,343.02857713200007,-0.5543999999999998,0,1,1,BTM00004,BTM00004,Sulfation of secondary alcohol,BTMR0502,EC 2.8.2.2,HUMAN,,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,"InChI=1S/C9H11F2N3O4/c10-9(11)6(16)4(3-15)18-7(9)14-2-1-5(12)13-8(14)17/h1-2,4,6-7,15-16H,3H2,(H2,12,13,17)",SDUQYLNIPVEERB-UHFFFAOYSA-N,,263.0717
"InChI=1S/C9H9F2N3O4/c10-9(11)6(16)4(3-15)18-7(9)14-2-1-5(12)13-8(14)17/h1-4,6-7,16H,(H2,12,13,17)",LWWBVLTUUVQXOJ-UHFFFAOYSA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)C=O)O)(F)F,,,C9H9F2N3O4,261.056112208,0.2812000000000001,0,0,0,BTM00005,BTM00005,Oxidation of primary alcohol to aldehyde,BTMR0105,"CYP1A2
CYP2E1
CYP3A4",HUMAN,,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,"InChI=1S/C9H11F2N3O4/c10-9(11)6(16)4(3-15)18-7(9)14-2-1-5(12)13-8(14)17/h1-2,4,6-7,15-16H,3H2,(H2,12,13,17)",SDUQYLNIPVEERB-UHFFFAOYSA-N,,263.0717
